kapanewon,sektor_usaha,skala_usaha,omset_per_bulan,tenaga_kerja_total,tenaga_kerja_laki,tenaga_kerja_perempuan,punya_whatsapp,punya_instagram,punya_website,digital_score,is_go_online
Prambanan,Jasa,Mikro_Lv1,4248949,1,1,0,1,0,0,1,0
Tempel,Jasa,Mikro_Lv1,2228553,4,2,2,1,0,0,1,0
Kalasan,Jasa,Mikro_Lv2,7845157,4,2,2,1,0,0,1,0
Godean,Jasa,Mikro_Lv1,3270514,2,1,1,0,0,0,0,0
Seyegan,Jasa,Mikro_Lv1,1908981,3,1,2,0,0,0,0,0
Prambanan,Perdagangan,Mikro_Lv3,14369535,4,2,2,1,0,0,1,0
Depok,Jasa,Mikro_Lv1,3246536,1,1,0,1,0,0,1,0
Kalasan,Perdagangan,Mikro_Lv1,1669163,3,2,1,0,0,0,0,0
Godean,Jasa,Mikro_Lv1,2189171,3,2,1,0,0,0,0,0
Berbah,Agribisnis,Mikro_Lv2,6622964,4,2,2,0,0,0,0,0
Gamping,Perdagangan,Mikro_Lv1,352465,2,1,1,1,0,0,1,0
Kalasan,Jasa,Mikro_Lv1,4765257,3,2,1,0,0,0,0,0
Godean,Perdagangan,Mikro_Lv1,1774474,4,2,2,0,0,0,0,0
Kalasan,Agribisnis,Mikro_Lv1,1261668,3,1,2,0,0,0,0,0
Ngemplak,Agribisnis,Mikro_Lv1,277845,1,1,0,1,0,0,1,0
Depok,Jasa,Mikro_Lv1,2375253,4,2,2,0,0,0,0,0
Sleman,Perdagangan,Mikro_Lv2,5989269,6,3,3,0,0,0,0,0
Prambanan,Perdagangan,Mikro_Lv1,2293474,2,1,1,1,1,0,2,1
Turi,Perdagangan,Mikro_Lv1,463723,1,1,0,0,0,0,0,0
Ngemplak,Jasa,Mikro_Lv1,4590585,4,2,2,1,0,0,1,0
Prambanan,Jasa,Mikro_Lv2,5864845,4,2,2,1,1,0,2,1
Moyudan,Jasa,Mikro_Lv1,3957874,4,2,2,1,1,0,2,1
Godean,Jasa,Mikro_Lv1,272667,3,2,1,1,0,0,1,0
Ngaglik,Perdagangan,Mikro_Lv1,1216733,1,1,0,1,1,0,2,1
Gamping,Jasa,Mikro_Lv1,4115336,1,1,0,0,0,0,0,0
Berbah,Jasa,Mikro_Lv1,4449113,1,0,1,0,0,0,0,0
Mlati,Perdagangan,Mikro_Lv1,1147417,1,1,0,0,0,0,0,0
Berbah,Perdagangan,Mikro_Lv1,1314530,4,2,2,0,0,0,0,0
Prambanan,Jasa,Mikro_Lv1,1064641,4,2,2,1,0,0,1,0
Sleman,Jasa,Mikro_Lv1,4739693,4,2,2,1,0,0,1,0
Gamping,Jasa,Mikro_Lv1,4915782,3,1,2,0,0,0,0,0
Mlati,Perdagangan,Mikro_Lv1,3785887,4,2,2,1,0,0,1,0
Godean,Perdagangan,Mikro_Lv1,4524361,4,2,2,1,0,0,1,0
Seyegan,Jasa,Mikro_Lv1,1944741,2,1,1,0,0,0,0,0
Mlati,Perdagangan,Mikro_Lv1,573684,1,1,0,1,0,0,1,0
Gamping,Jasa,Mikro_Lv1,1285801,2,1,1,0,0,0,0,0
Gamping,Jasa,Mikro_Lv1,1580296,4,2,2,1,1,1,3,1
Kalasan,Jasa,Mikro_Lv1,2988793,2,1,1,0,0,0,0,0
Gamping,Jasa,Mikro_Lv1,4743170,4,2,2,1,0,0,1,0
Godean,Agribisnis,Mikro_Lv1,3534666,2,1,1,1,0,0,1,0
Depok,Jasa,Mikro_Lv1,3700568,1,1,0,0,0,0,0,0
Depok,Agribisnis,Mikro_Lv1,4744408,3,2,1,0,0,0,0,0
Depok,Perdagangan,Mikro_Lv1,3900275,1,1,0,1,0,0,1,0
Prambanan,Jasa,Mikro_Lv1,2731645,3,1,2,1,0,0,1,0
Tempel,Jasa,Mikro_Lv1,368921,2,1,1,0,0,0,0,0
Tempel,Agribisnis,Mikro_Lv1,2029662,1,1,0,0,0,0,0,0
Depok,Jasa,Mikro_Lv1,4696158,3,2,1,0,0,0,0,0
Moyudan,Perdagangan,Mikro_Lv1,525957,1,0,1,0,0,0,0,0
Depok,Jasa,Mikro_Lv1,4167973,4,2,2,0,0,0,0,0
Gamping,Jasa,Mikro_Lv1,1270242,2,1,1,1,0,0,1,0
Sleman,Jasa,Mikro_Lv2,8381331,1,0,1,0,0,0,0,0
Gamping,Jasa,Mikro_Lv1,1795651,2,1,1,0,0,0,0,0
Kalasan,Jasa,Mikro_Lv1,1156714,2,1,1,0,0,0,0,0
Sleman,Jasa,Mikro_Lv1,1477482,3,1,2,0,0,0,0,0
Seyegan,Jasa,Mikro_Lv1,2087403,4,2,2,0,0,0,0,0
Depok,Perdagangan,Mikro_Lv1,901495,4,2,2,0,0,0,0,0
Depok,Perdagangan,Mikro_Lv1,3149407,2,1,1,0,0,0,0,0
Ngemplak,Jasa,Mikro_Lv1,4911887,3,2,1,1,0,0,1,0
Godean,Perdagangan,Mikro_Lv2,8428811,5,3,2,0,0,0,0,0
Kalasan,Jasa,Mikro_Lv1,355642,1,1,0,1,0,0,1,0
Godean,Jasa,Mikro_Lv1,120730,2,1,1,0,0,0,0,0
Gamping,Jasa,Mikro_Lv1,1941042,4,2,2,1,0,0,1,0
Depok,Jasa,Mikro_Lv1,3851526,4,2,2,1,0,0,1,0
Depok,Jasa,Mikro_Lv1,3472108,2,1,1,0,0,0,0,0
Ngaglik,Jasa,Mikro_Lv1,212628,2,1,1,1,0,0,1,0
Berbah,Jasa,Mikro_Lv1,4771873,4,2,2,0,0,0,0,0
Gamping,Jasa,Mikro_Lv1,1559284,2,1,1,0,0,0,0,0
Mlati,Perdagangan,Mikro_Lv1,674267,4,2,2,0,0,0,0,0
Seyegan,Agribisnis,Mikro_Lv1,4084488,3,2,1,0,0,0,0,0
Depok,Jasa,Mikro_Lv1,2342854,2,1,1,0,0,0,0,0
Ngaglik,Jasa,Mikro_Lv1,4704863,1,0,1,0,0,0,0,0
Mlati,Jasa,Mikro_Lv1,1540850,1,1,0,1,1,0,2,1
Tempel,Jasa,Mikro_Lv1,3103800,3,2,1,0,0,0,0,0
Sleman,Jasa,Mikro_Lv1,3729046,2,1,1,0,0,0,0,0
Sleman,Jasa,Mikro_Lv1,1840220,4,2,2,0,0,0,0,0
Mlati,Perdagangan,Mikro_Lv1,1136263,3,2,1,0,0,0,0,0
Berbah,Perdagangan,Mikro_Lv1,1600448,2,1,1,0,0,0,0,0
Kalasan,Perdagangan,Mikro_Lv1,2042896,4,2,2,0,0,0,0,0
Seyegan,Jasa,Mikro_Lv1,3511449,3,1,2,0,0,0,0,0
Ngemplak,Jasa,Mikro_Lv1,3019332,2,1,1,0,0,0,0,0
Depok,Jasa,Mikro_Lv1,4267132,2,1,1,0,0,0,0,0
Berbah,Jasa,Mikro_Lv1,4875436,4,2,2,0,0,0,0,0
Kalasan,Jasa,Mikro_Lv1,3340488,2,1,1,0,0,0,0,0
Depok,Perdagangan,Mikro_Lv2,6859024,3,1,2,1,1,0,2,1
Tempel,Agribisnis,Mikro_Lv1,2050276,4,2,2,0,0,0,0,0
Sleman,Agribisnis,Mikro_Lv1,374344,3,1,2,0,0,0,0,0
Ngaglik,Perdagangan,Mikro_Lv1,1389068,1,0,1,0,0,0,0,0
Tempel,Jasa,Mikro_Lv1,2196856,2,1,1,0,0,0,0,0
Prambanan,Jasa,Mikro_Lv1,4698697,3,2,1,1,0,0,1,0
Prambanan,Jasa,Mikro_Lv1,4404309,3,2,1,1,0,0,1,0
Sleman,Perdagangan,Mikro_Lv1,3491274,4,2,2,0,0,0,0,0
Seyegan,Perdagangan,Mikro_Lv1,3727904,1,0,1,0,0,0,0,0
Turi,Perdagangan,Mikro_Lv1,4880779,3,2,1,0,0,0,0,0
Godean,Jasa,Mikro_Lv2,5481193,3,1,2,0,0,0,0,0
Mlati,Jasa,Mikro_Lv1,4883313,1,1,0,0,0,0,0,0
Godean,Jasa,Mikro_Lv1,4494445,1,0,1,1,1,0,2,1
Seyegan,Perdagangan,Mikro_Lv1,4506738,2,1,1,1,0,0,1,0
Godean,Jasa,Mikro_Lv1,3078921,3,1,2,0,0,0,0,0
Sleman,Perdagangan,Mikro_Lv1,497165,2,1,1,0,0,0,0,0
Ngemplak,Perdagangan,Mikro_Lv1,978536,4,2,2,0,0,0,0,0
Gamping,Jasa,Mikro_Lv1,4735332,4,2,2,0,0,0,0,0
Tempel,Perdagangan,Mikro_Lv1,2406967,2,1,1,0,0,0,0,0
Pakem,Jasa,Mikro_Lv1,2232821,1,1,0,1,0,0,1,0
Godean,Perdagangan,Mikro_Lv1,3596436,3,2,1,1,1,0,2,1
Berbah,Jasa,Mikro_Lv1,4821571,4,2,2,0,0,0,0,0
Kalasan,Perdagangan,Mikro_Lv2,8567850,1,1,0,1,1,0,2,1
Prambanan,Jasa,Mikro_Lv3,10484469,2,1,1,0,0,0,0,0
Moyudan,Jasa,Mikro_Lv2,5682286,1,1,0,0,0,0,0,0
Depok,Perdagangan,Mikro_Lv1,1664069,2,1,1,0,0,0,0,0
Ngaglik,Jasa,Mikro_Lv1,415874,2,1,1,0,0,0,0,0
Tempel,Jasa,Mikro_Lv1,1612850,4,2,2,1,0,0,1,0
Mlati,Jasa,Mikro_Lv1,2331499,2,1,1,0,0,0,0,0
Prambanan,Jasa,Mikro_Lv1,2725527,4,2,2,0,0,0,0,0
Prambanan,Perdagangan,Mikro_Lv1,1577127,2,1,1,0,0,0,0,0
Godean,Perdagangan,Mikro_Lv1,3213274,2,1,1,1,1,0,2,1
Ngaglik,Agribisnis,Mikro_Lv1,876038,4,2,2,0,0,0,0,0
Mlati,Jasa,Mikro_Lv1,4056926,3,1,2,0,0,0,0,0
Seyegan,Jasa,Mikro_Lv1,560643,4,2,2,1,1,0,2,1
Gamping,Agribisnis,Mikro_Lv1,1304925,2,1,1,1,0,0,1,0
Godean,Agribisnis,Mikro_Lv1,3071536,2,1,1,0,0,0,0,0
Ngemplak,Jasa,Mikro_Lv1,605829,1,0,1,1,0,0,1,0
Depok,Agribisnis,Mikro_Lv3,20756411,4,2,2,0,0,0,0,0
Gamping,Perdagangan,Mikro_Lv1,3136938,1,1,0,0,0,0,0,0
Seyegan,Perdagangan,Mikro_Lv1,2425595,2,1,1,0,0,0,0,0
Depok,Agribisnis,Mikro_Lv1,2598924,3,2,1,0,0,0,0,0
Godean,Perdagangan,Mikro_Lv1,3623687,4,2,2,0,0,0,0,0
Depok,Perdagangan,Mikro_Lv1,4184094,1,0,1,0,0,0,0,0
Godean,Jasa,Mikro_Lv1,2954563,2,1,1,0,0,0,0,0
Turi,Jasa,Mikro_Lv2,8294742,6,3,3,1,1,0,2,1
Kalasan,Jasa,Mikro_Lv1,2750728,2,1,1,1,1,0,2,1
Sleman,Perdagangan,Mikro_Lv2,8213037,4,2,2,1,0,0,1,0
Gamping,Jasa,Mikro_Lv1,2515962,2,1,1,0,0,0,0,0
Depok,Jasa,Mikro_Lv2,9463588,3,2,1,1,0,0,1,0
Depok,Agribisnis,Mikro_Lv1,1490496,2,1,1,1,0,0,1,0
Godean,Perdagangan,Mikro_Lv1,3354195,2,1,1,1,1,0,2,1
Berbah,Perdagangan,Mikro_Lv2,7264116,2,1,1,0,0,0,0,0
Godean,Perdagangan,Mikro_Lv3,10642006,3,2,1,1,0,0,1,0
Depok,Perdagangan,Mikro_Lv1,4466430,1,0,1,0,0,0,0,0
Moyudan,Jasa,Mikro_Lv1,1332907,2,1,1,1,1,1,3,1
Berbah,Jasa,Mikro_Lv2,9088770,3,2,1,0,0,0,0,0
Ngemplak,Jasa,Mikro_Lv1,3642461,2,1,1,0,0,0,0,0
Tempel,Perdagangan,Mikro_Lv1,3541652,2,1,1,0,0,0,0,0
Ngemplak,Jasa,Mikro_Lv1,2166458,3,2,1,1,1,1,3,1
Depok,Perdagangan,Mikro_Lv1,2723024,2,1,1,1,0,0,1,0
Kalasan,Jasa,Mikro_Lv1,1844753,2,1,1,1,0,0,1,0
Depok,Jasa,Mikro_Lv1,3850919,2,1,1,1,1,0,2,1
Berbah,Jasa,Mikro_Lv1,277132,4,2,2,0,0,0,0,0
Moyudan,Perdagangan,Mikro_Lv1,2141572,3,2,1,0,0,0,0,0
Minggir,Perdagangan,Mikro_Lv1,760151,1,1,0,1,0,0,1,0
Tempel,Perdagangan,Mikro_Lv1,4311590,4,2,2,1,0,0,1,0
Ngaglik,Jasa,Mikro_Lv1,4770773,1,0,1,1,1,0,2,1
Godean,Jasa,Mikro_Lv1,121284,3,2,1,0,0,0,0,0
Sleman,Jasa,Mikro_Lv1,161686,2,1,1,1,0,0,1,0
Cangkringan,Jasa,Mikro_Lv1,292527,2,1,1,0,0,0,0,0
Depok,Perdagangan,Mikro_Lv2,9187586,2,1,1,1,0,0,1,0
Depok,Jasa,Mikro_Lv1,2760620,4,2,2,0,0,0,0,0
Sleman,Perdagangan,Mikro_Lv1,4702714,2,1,1,0,0,0,0,0
Godean,Jasa,Mikro_Lv1,3413553,3,2,1,1,1,0,2,1
Kalasan,Jasa,Mikro_Lv1,2511022,3,1,2,1,1,0,2,1
Mlati,Jasa,Mikro_Lv1,2031143,4,2,2,0,0,0,0,0
Sleman,Jasa,Mikro_Lv1,3400755,4,2,2,1,1,1,3,1
Depok,Jasa,Mikro_Lv1,2323985,2,1,1,1,1,0,2,1
Prambanan,Jasa,Mikro_Lv1,890648,3,2,1,1,0,0,1,0
Sleman,Jasa,Mikro_Lv1,3786491,4,2,2,0,0,0,0,0
Godean,Jasa,Mikro_Lv1,976446,4,2,2,0,0,0,0,0
Depok,Jasa,Mikro_Lv1,3731784,3,2,1,0,0,0,0,0
Depok,Jasa,Mikro_Lv1,1987881,4,2,2,1,1,0,2,1
Mlati,Jasa,Mikro_Lv1,3821099,3,1,2,1,1,0,2,1
Minggir,Perdagangan,Mikro_Lv1,1770358,1,1,0,0,0,0,0,0
Tempel,Perdagangan,Mikro_Lv1,4835461,1,1,0,1,0,0,1,0
Mlati,Jasa,Mikro_Lv1,3724434,3,2,1,0,0,0,0,0
Cangkringan,Perdagangan,Mikro_Lv1,42192,1,1,0,0,0,0,0,0
Pakem,Perdagangan,Mikro_Lv1,2692468,3,1,2,1,1,0,2,1
Kalasan,Jasa,Mikro_Lv1,4689491,2,1,1,0,0,0,0,0
Mlati,Jasa,Mikro_Lv1,3353800,2,1,1,0,0,0,0,0
Mlati,Jasa,Mikro_Lv1,2697862,2,1,1,1,1,0,2,1
Gamping,Jasa,Mikro_Lv1,3657892,3,2,1,1,0,0,1,0
Seyegan,Perdagangan,Mikro_Lv1,3361661,2,1,1,0,0,0,0,0
Sleman,Jasa,Mikro_Lv1,4746176,4,2,2,1,0,0,1,0
Kalasan,Agribisnis,Mikro_Lv2,9207884,1,1,0,0,0,0,0,0
Godean,Perdagangan,Mikro_Lv4,35698925,6,3,3,0,0,0,0,0
Sleman,Agribisnis,Mikro_Lv1,3977912,2,1,1,0,0,0,0,0
Prambanan,Perdagangan,Mikro_Lv1,1580622,2,1,1,0,0,0,0,0
Mlati,Jasa,Mikro_Lv1,494496,4,2,2,0,0,0,0,0
Ngaglik,Jasa,Mikro_Lv1,947719,3,2,1,1,1,0,2,1
Seyegan,Perdagangan,Mikro_Lv1,4462028,3,1,2,0,0,0,0,0
Ngaglik,Jasa,Mikro_Lv1,728165,3,2,1,1,0,0,1,0
Depok,Jasa,Mikro_Lv1,4314198,4,2,2,1,0,0,1,0
Ngaglik,Jasa,Mikro_Lv1,4138937,1,1,0,0,0,0,0,0
Gamping,Jasa,Mikro_Lv1,1506610,4,2,2,0,0,0,0,0
Depok,Agribisnis,Mikro_Lv1,2344591,2,1,1,0,0,0,0,0
Turi,Perdagangan,Mikro_Lv1,1391864,2,1,1,1,1,1,3,1
Depok,Perdagangan,Mikro_Lv1,1678176,1,1,0,1,0,0,1,0
Ngemplak,Perdagangan,Mikro_Lv1,3403171,4,2,2,0,0,0,0,0
Turi,Jasa,Mikro_Lv2,5588829,1,1,0,0,0,0,0,0
Sleman,Agribisnis,Mikro_Lv2,6980343,4,2,2,1,0,0,1,0
Godean,Jasa,Mikro_Lv2,8399928,6,3,3,1,1,1,3,1
Mlati,Perdagangan,Mikro_Lv1,3821476,1,0,1,0,0,0,0,0
Kalasan,Jasa,Mikro_Lv1,4738587,4,2,2,0,0,0,0,0
Moyudan,Jasa,Mikro_Lv1,3655694,3,2,1,0,0,0,0,0
Berbah,Jasa,Mikro_Lv1,3453822,3,1,2,0,0,0,0,0
Ngemplak,Perdagangan,Mikro_Lv1,3399029,4,2,2,0,0,0,0,0
Ngaglik,Agribisnis,Mikro_Lv1,3926365,1,1,0,0,0,0,0,0
Godean,Perdagangan,Mikro_Lv1,4310500,1,0,1,0,0,0,0,0
Mlati,Perdagangan,Mikro_Lv1,264826,3,2,1,1,0,0,1,0
Sleman,Perdagangan,Mikro_Lv1,2225283,1,1,0,0,0,0,0,0
Prambanan,Agribisnis,Mikro_Lv1,1914461,2,1,1,1,0,0,1,0
Gamping,Jasa,Mikro_Lv1,516456,1,1,0,0,0,0,0,0
Ngaglik,Perdagangan,Mikro_Lv1,3777343,2,1,1,0,0,0,0,0
Mlati,Jasa,Mikro_Lv1,908573,1,0,1,0,0,0,0,0
Godean,Jasa,Mikro_Lv1,1808711,3,2,1,1,1,0,2,1
Cangkringan,Jasa,Mikro_Lv1,3979062,1,1,0,1,1,0,2,1
Sleman,Jasa,Mikro_Lv2,7739963,5,3,2,0,0,0,0,0
Berbah,Perdagangan,Mikro_Lv1,3097619,2,1,1,0,0,0,0,0
Cangkringan,Agribisnis,Mikro_Lv1,4575363,2,1,1,0,0,0,0,0
Ngemplak,Jasa,Mikro_Lv1,2666753,2,1,1,1,0,0,1,0
Sleman,Agribisnis,Mikro_Lv1,3677264,2,1,1,1,0,0,1,0
Mlati,Jasa,Mikro_Lv1,269594,2,1,1,1,1,0,2,1
Seyegan,Perdagangan,Mikro_Lv1,2139463,1,1,0,1,0,0,1,0
Mlati,Perdagangan,Mikro_Lv1,2146081,1,1,0,0,0,0,0,0
Seyegan,Perdagangan,Mikro_Lv1,2643265,3,2,1,0,0,0,0,0
Turi,Agribisnis,Mikro_Lv2,5600577,1,1,0,0,0,0,0,0
Gamping,Jasa,Mikro_Lv1,4638157,4,2,2,0,0,0,0,0
Cangkringan,Perdagangan,Mikro_Lv1,1112104,4,2,2,0,0,0,0,0
Sleman,Agribisnis,Mikro_Lv1,3401222,2,1,1,0,0,0,0,0
Tempel,Agribisnis,Mikro_Lv1,3101627,2,1,1,0,0,0,0,0
Depok,Jasa,Mikro_Lv1,3949349,4,2,2,0,0,0,0,0
Depok,Jasa,Mikro_Lv1,4334992,1,1,0,0,0,0,0,0
Ngemplak,Jasa,Mikro_Lv1,1920759,3,2,1,1,0,0,1,0
Tempel,Agribisnis,Mikro_Lv1,3987400,1,1,0,0,0,0,0,0
Tempel,Perdagangan,Mikro_Lv1,2462282,4,2,2,0,0,0,0,0
Depok,Jasa,Mikro_Lv1,1847669,4,2,2,1,1,1,3,1
Depok,Agribisnis,Mikro_Lv1,2097216,4,2,2,1,0,0,1,0
Ngaglik,Perdagangan,Mikro_Lv3,21390486,4,2,2,0,0,0,0,0
Minggir,Jasa,Mikro_Lv1,4467443,1,1,0,0,0,0,0,0
Ngaglik,Jasa,Mikro_Lv1,4877733,3,1,2,0,0,0,0,0
Turi,Perdagangan,Mikro_Lv1,2591460,4,2,2,1,0,0,1,0
Ngaglik,Jasa,Mikro_Lv2,8772245,5,3,2,0,0,0,0,0
Sleman,Jasa,Mikro_Lv1,3745971,1,0,1,0,0,0,0,0
Berbah,Jasa,Mikro_Lv1,2756241,4,2,2,1,0,0,1,0
Minggir,Jasa,Mikro_Lv1,4631813,1,1,0,1,0,0,1,0
Cangkringan,Perdagangan,Mikro_Lv1,4117472,4,2,2,0,0,0,0,0
Turi,Jasa,Mikro_Lv1,2883309,3,1,2,1,1,0,2,1
Ngaglik,Agribisnis,Mikro_Lv2,6630910,5,3,2,0,0,0,0,0
Depok,Jasa,Mikro_Lv1,3205060,2,1,1,0,0,0,0,0
Berbah,Perdagangan,Mikro_Lv1,4673024,2,1,1,0,0,0,0,0
Depok,Perdagangan,Mikro_Lv2,8012824,5,2,3,0,0,0,0,0
Ngemplak,Perdagangan,Mikro_Lv1,1318154,1,1,0,0,0,0,0,0
Sleman,Jasa,Mikro_Lv1,278747,2,1,1,0,0,0,0,0
Sleman,Jasa,Mikro_Lv1,3314497,1,1,0,0,0,0,0,0
Seyegan,Jasa,Mikro_Lv2,7885201,1,1,0,1,1,0,2,1
Depok,Agribisnis,Mikro_Lv1,4741152,3,2,1,0,0,0,0,0
Seyegan,Perdagangan,Mikro_Lv1,528742,2,1,1,1,0,0,1,0
Tempel,Jasa,Mikro_Lv1,4778391,2,1,1,1,0,0,1,0
Seyegan,Jasa,Mikro_Lv1,435485,2,1,1,0,0,0,0,0
Berbah,Perdagangan,Mikro_Lv1,1830927,4,2,2,1,0,0,1,0
Prambanan,Jasa,Mikro_Lv1,3427495,1,1,0,1,0,0,1,0
Depok,Perdagangan,Mikro_Lv1,4444279,3,2,1,0,0,0,0,0
Gamping,Perdagangan,Mikro_Lv1,4374989,4,2,2,0,0,0,0,0
Depok,Jasa,Mikro_Lv2,6529451,3,2,1,0,0,0,0,0
Gamping,Perdagangan,Mikro_Lv1,3420929,1,1,0,0,0,0,0,0
Depok,Agribisnis,Mikro_Lv1,4278639,2,1,1,0,0,0,0,0
Kalasan,Jasa,Mikro_Lv1,3217268,2,1,1,0,0,0,0,0
Tempel,Jasa,Mikro_Lv1,2949271,4,2,2,1,1,0,2,1
Minggir,Jasa,Mikro_Lv2,8203669,3,2,1,1,0,0,1,0
Sleman,Jasa,Mikro_Lv1,2095383,4,2,2,0,0,0,0,0
Godean,Jasa,Mikro_Lv1,4127269,3,2,1,1,0,0,1,0
Tempel,Perdagangan,Mikro_Lv1,261745,4,2,2,1,1,0,2,1
Berbah,Jasa,Mikro_Lv2,5184215,3,2,1,1,1,0,2,1
Sleman,Perdagangan,Mikro_Lv1,4428935,2,1,1,0,0,0,0,0
Ngaglik,Perdagangan,Mikro_Lv1,1660049,4,2,2,0,0,0,0,0
Turi,Jasa,Mikro_Lv1,1381173,1,1,0,1,0,0,1,0
Berbah,Agribisnis,Mikro_Lv1,2926759,2,1,1,0,0,0,0,0
Moyudan,Agribisnis,Mikro_Lv1,2124749,2,1,1,0,0,0,0,0
Ngaglik,Jasa,Mikro_Lv1,816473,1,0,1,0,0,0,0,0
Pakem,Perdagangan,Mikro_Lv1,1635846,1,1,0,1,0,0,1,0
Godean,Perdagangan,Mikro_Lv1,1726476,2,1,1,1,0,0,1,0
Kalasan,Jasa,Mikro_Lv1,4640353,1,1,0,0,0,0,0,0
Sleman,Agribisnis,Mikro_Lv1,2463208,3,1,2,0,0,0,0,0
Ngaglik,Perdagangan,Mikro_Lv1,3398718,4,2,2,0,0,0,0,0
Moyudan,Perdagangan,Mikro_Lv1,144608,1,0,1,0,0,0,0,0
Tempel,Perdagangan,Mikro_Lv1,2202149,4,2,2,0,0,0,0,0
Sleman,Agribisnis,Mikro_Lv1,1588253,1,0,1,0,0,0,0,0
Tempel,Jasa,Mikro_Lv1,3370725,4,2,2,1,0,0,1,0
Kalasan,Perdagangan,Mikro_Lv1,17903,4,2,2,1,0,0,1,0
Ngemplak,Jasa,Mikro_Lv1,1401170,1,1,0,0,0,0,0,0
Berbah,Perdagangan,Mikro_Lv1,3376483,4,2,2,0,0,0,0,0
Gamping,Jasa,Mikro_Lv1,4378023,3,1,2,0,0,0,0,0
Prambanan,Jasa,Mikro_Lv5,55231308,10,5,5,1,0,0,1,0
Mlati,Perdagangan,Mikro_Lv1,2460461,3,2,1,0,0,0,0,0
Godean,Jasa,Mikro_Lv1,2435142,4,2,2,0,0,0,0,0
Prambanan,Agribisnis,Mikro_Lv1,4810277,3,2,1,1,0,0,1,0
Ngemplak,Jasa,Mikro_Lv1,1519493,1,1,0,0,0,0,0,0
Kalasan,Jasa,Mikro_Lv1,1464236,2,1,1,0,0,0,0,0
Turi,Jasa,Mikro_Lv1,1329020,3,2,1,0,0,0,0,0
Tempel,Perdagangan,Mikro_Lv1,3393416,1,1,0,0,0,0,0,0
Depok,Perdagangan,Mikro_Lv1,3928408,3,2,1,1,0,0,1,0
Turi,Perdagangan,Mikro_Lv2,6153535,6,3,3,1,0,0,1,0
Kalasan,Jasa,Mikro_Lv1,4822724,2,1,1,0,0,0,0,0
Depok,Perdagangan,Mikro_Lv1,2921984,4,2,2,0,0,0,0,0
Mlati,Jasa,Mikro_Lv1,1728177,3,2,1,0,0,0,0,0
Sleman,Jasa,Mikro_Lv1,1739886,4,2,2,0,0,0,0,0
Seyegan,Perdagangan,Mikro_Lv1,4692489,1,1,0,0,0,0,0,0
Kalasan,Agribisnis,Mikro_Lv1,4936951,2,1,1,1,0,0,1,0
Minggir,Jasa,Mikro_Lv1,1330730,4,2,2,0,0,0,0,0
Kalasan,Jasa,Mikro_Lv1,2072551,2,1,1,1,0,0,1,0
Minggir,Jasa,Mikro_Lv1,3447797,4,2,2,0,0,0,0,0
Minggir,Perdagangan,Mikro_Lv1,4565771,4,2,2,0,0,0,0,0
Depok,Jasa,Mikro_Lv1,15376,3,1,2,1,0,0,1,0
Mlati,Agribisnis,Mikro_Lv1,1421742,3,1,2,0,0,0,0,0
Sleman,Agribisnis,Mikro_Lv2,9131608,4,2,2,0,0,0,0,0
Pakem,Agribisnis,Mikro_Lv1,3243283,2,1,1,0,0,0,0,0
Moyudan,Jasa,Mikro_Lv1,1880352,4,2,2,1,0,0,1,0
Moyudan,Perdagangan,Mikro_Lv1,3269503,4,2,2,1,1,0,2,1
Sleman,Jasa,Mikro_Lv1,1608412,4,2,2,0,0,0,0,0
Tempel,Agribisnis,Mikro_Lv1,2845653,2,1,1,0,0,0,0,0
Ngemplak,Perdagangan,Mikro_Lv1,4342196,1,1,0,0,0,0,0,0
Ngaglik,Jasa,Mikro_Lv1,1322924,1,1,0,0,0,0,0,0
Kalasan,Jasa,Mikro_Lv1,4499829,1,1,0,1,1,1,3,1
Mlati,Perdagangan,Mikro_Lv1,256094,2,1,1,0,0,0,0,0
Ngaglik,Agribisnis,Mikro_Lv1,4304979,3,2,1,0,0,0,0,0
Sleman,Perdagangan,Mikro_Lv1,3728489,1,1,0,1,1,0,2,1
Ngemplak,Jasa,Mikro_Lv1,4025481,3,2,1,1,1,0,2,1
Sleman,Perdagangan,Mikro_Lv1,3924248,3,1,2,1,0,0,1,0
Ngemplak,Perdagangan,Mikro_Lv1,248595,2,1,1,1,0,0,1,0
Godean,Jasa,Mikro_Lv1,1037763,1,1,0,0,0,0,0,0
Prambanan,Jasa,Mikro_Lv1,477698,1,0,1,0,0,0,0,0
Pakem,Perdagangan,Mikro_Lv1,2096852,3,2,1,0,0,0,0,0
Berbah,Jasa,Mikro_Lv1,1806129,2,1,1,1,0,0,1,0
Depok,Perdagangan,Mikro_Lv1,677578,1,1,0,1,0,0,1,0
Kalasan,Jasa,Mikro_Lv2,8109848,1,1,0,0,0,0,0,0
Minggir,Perdagangan,Mikro_Lv1,1289783,4,2,2,0,0,0,0,0
Cangkringan,Perdagangan,Mikro_Lv3,15605956,6,3,3,0,0,0,0,0
Depok,Agribisnis,Mikro_Lv2,6260561,5,3,2,0,0,0,0,0
Minggir,Perdagangan,Mikro_Lv1,1320055,4,2,2,0,0,0,0,0
Seyegan,Perdagangan,Mikro_Lv1,4253618,2,1,1,0,0,0,0,0
Mlati,Jasa,Mikro_Lv1,3232838,1,1,0,0,0,0,0,0
Prambanan,Jasa,Mikro_Lv1,4921091,1,0,1,0,0,0,0,0
