kapanewon,sektor_usaha,skala_usaha,omset_per_bulan,omset_pct_dalam_skala,tenaga_kerja_total,tenaga_kerja_laki,tenaga_kerja_perempuan,punya_whatsapp,punya_instagram,punya_website,digital_score,is_go_online,is_urban,umur_usaha
Sleman,Jasa,Mikro_Lv1,2776632,0.5059,4,2,2,0,0,0,0,0,0,2
Prambanan,Jasa,Mikro_Lv1,3046210,0.5658,1,0,1,0,0,0,0,0,0,3
Berbah,Perdagangan,Mikro_Lv1,3131550,0.5848,1,1,0,1,0,0,1,0,0,1
Minggir,Jasa,Mikro_Lv1,4774098,0.9498,1,1,0,0,0,0,0,0,0,2
Depok,Jasa,Mikro_Lv1,2404400,0.4232,3,2,1,1,1,0,2,1,1,4
Ngaglik,Jasa,Mikro_Lv1,3238356,0.6085,1,1,0,1,1,0,2,1,1,3
Minggir,Jasa,Mikro_Lv1,4967443,0.9928,1,1,0,1,0,0,1,0,0,5
Kalasan,Perdagangan,Mikro_Lv2,6497212,0.2994,5,2,3,1,1,0,2,1,1,6
Pakem,Agribisnis,Mikro_Lv1,3448892,0.6553,2,1,1,0,0,0,0,0,0,3
Kalasan,Jasa,Mikro_Lv1,2826316,0.517,4,2,2,1,1,0,2,1,1,2
Seyegan,Jasa,Mikro_Lv1,1216696,0.1593,3,1,2,1,1,0,2,1,0,2
Tempel,Perdagangan,Mikro_Lv1,2313318,0.403,4,2,2,1,0,0,1,0,0,1
Pakem,Agribisnis,Mikro_Lv2,9063627,0.8127,6,3,3,1,0,0,1,1,0,4
Ngemplak,Jasa,Mikro_Lv1,3654267,0.7009,4,2,2,0,0,0,0,0,0,1
Cangkringan,Jasa,Mikro_Lv1,2387987,0.4196,2,1,1,0,0,0,0,0,0,3
Sleman,Jasa,Mikro_Lv1,778747,0.0619,2,1,1,1,0,0,1,0,0,3
Cangkringan,Perdagangan,Mikro_Lv1,2380414,0.4179,3,2,1,1,0,0,1,0,0,4
Ngaglik,Jasa,Mikro_Lv1,2833261,0.5185,4,2,2,1,0,0,1,0,1,2
Sleman,Jasa,Mikro_Lv1,4922801,0.9828,2,1,1,1,1,0,2,1,0,5
Depok,Perdagangan,Mikro_Lv1,2188120,0.3751,2,1,1,0,0,0,0,0,1,1
Turi,Jasa,Mikro_Lv1,1376611,0.1948,1,1,0,0,0,0,0,0,0,3
Ngemplak,Jasa,Mikro_Lv1,4944279,0.9876,3,2,1,1,1,0,2,1,0,1
Depok,Perdagangan,Mikro_Lv1,1260416,0.169,2,1,1,1,1,0,2,1,1,4
Sleman,Perdagangan,Mikro_Lv1,1838223,0.2974,2,1,1,1,1,0,2,1,0,5
Mlati,Jasa,Mikro_Lv1,4995590,0.999,1,1,0,0,0,0,0,0,1,5
Ngemplak,Jasa,Mikro_Lv1,2643781,0.4764,4,2,2,1,0,1,2,1,0,3
Seyegan,Perdagangan,Mikro_Lv1,3715534,0.7146,3,2,1,0,0,0,0,0,0,5
Depok,Perdagangan,Mikro_Lv1,4627269,0.9172,3,2,1,0,0,0,0,0,1,5
Mlati,Jasa,Mikro_Lv1,2246659,0.3881,3,1,2,1,1,1,3,1,1,1
Sleman,Perdagangan,Mikro_Lv2,5860513,0.1721,6,3,3,0,0,0,0,0,0,4
Gamping,Perdagangan,Mikro_Lv1,4182226,0.8183,1,1,0,1,1,1,3,1,1,2
Prambanan,Jasa,Mikro_Lv1,3426759,0.6504,2,1,1,1,1,0,2,1,0,1
Ngemplak,Perdagangan,Mikro_Lv1,4897874,0.9773,2,1,1,0,0,0,0,0,0,1
Sleman,Jasa,Mikro_Lv1,1835364,0.2967,2,1,1,0,0,0,0,0,0,2
Prambanan,Agribisnis,Mikro_Lv1,2781103,0.5069,1,1,0,0,0,0,0,0,0,3
Gamping,Agribisnis,Mikro_Lv1,4122456,0.805,1,0,1,0,0,0,0,0,1,4
Tempel,Agribisnis,Mikro_Lv1,2619990,0.4711,1,1,0,0,0,0,0,0,0,5
Kalasan,Perdagangan,Mikro_Lv1,4738119,0.9418,3,2,1,0,0,0,0,0,1,4
Sleman,Agribisnis,Mikro_Lv1,2088253,0.3529,1,0,1,0,0,0,0,0,0,4
Godean,Jasa,Mikro_Lv1,4961733,0.9915,4,2,2,1,1,0,2,1,0,4
Ngemplak,Jasa,Mikro_Lv1,1901170,0.3114,1,1,0,1,0,0,1,0,0,4
Depok,Agribisnis,Mikro_Lv1,3052671,0.5673,2,1,1,1,0,0,1,1,1,3
Cangkringan,Jasa,Mikro_Lv1,3883167,0.7518,2,1,1,1,1,0,2,1,0,2
Depok,Perdagangan,Mikro_Lv1,596453,0.0214,4,2,2,0,0,0,0,0,1,4
Kalasan,Jasa,Mikro_Lv1,3950320,0.7667,1,1,0,0,0,0,0,0,1,4
Ngemplak,Agribisnis,Mikro_Lv1,3671029,0.7047,4,2,2,1,1,0,2,1,0,4
Minggir,Perdagangan,Mikro_Lv1,3583873,0.6853,3,2,1,0,0,0,0,0,0,5
Sleman,Jasa,Mikro_Lv1,4428408,0.873,3,2,1,0,0,0,0,0,0,2
Pakem,Perdagangan,Mikro_Lv1,4327573,0.8506,4,2,2,0,0,0,0,0,0,5
Turi,Perdagangan,Mikro_Lv1,3421984,0.6493,4,2,2,1,0,0,1,0,0,2
Tempel,Perdagangan,Mikro_Lv1,4654534,0.9232,3,1,2,0,0,0,0,0,0,1
Prambanan,Jasa,Mikro_Lv1,3746797,0.7215,2,1,1,1,1,0,2,1,0,3
Ngaglik,Perdagangan,Mikro_Lv1,1268026,0.1707,4,2,2,0,0,0,0,0,1,4
Kalasan,Perdagangan,Mikro_Lv2,7072551,0.4145,6,4,2,1,1,0,2,1,1,7
Mlati,Agribisnis,Mikro_Lv3,24073601,0.9382,3,1,2,1,1,0,2,1,1,9
Ngaglik,Perdagangan,Mikro_Lv1,1964294,0.3254,3,2,1,0,0,0,0,0,1,2
Gamping,Jasa,Mikro_Lv1,2807022,0.5127,4,2,2,0,0,0,0,0,1,2
Depok,Jasa,Mikro_Lv1,2380352,0.4179,4,2,2,1,0,0,1,0,1,5
Sleman,Jasa,Mikro_Lv1,578743,0.0175,3,1,2,1,0,0,1,0,0,1
Prambanan,Jasa,Mikro_Lv1,1366603,0.1926,4,2,2,1,0,0,1,0,0,1
Ngaglik,Perdagangan,Mikro_Lv1,2733232,0.4963,2,1,1,1,0,0,1,0,1,5
Depok,Jasa,Mikro_Lv1,2068402,0.3485,4,2,2,1,0,0,1,1,1,1
Cangkringan,Perdagangan,Mikro_Lv1,1492030,0.2205,4,2,2,0,0,0,0,0,0,5
Prambanan,Perdagangan,Mikro_Lv2,9549417,0.9099,2,1,1,0,0,0,0,0,0,5
Prambanan,Jasa,Mikro_Lv1,1516487,0.2259,3,2,1,0,0,0,0,0,0,2
Godean,Perdagangan,Mikro_Lv1,2178575,0.373,3,2,1,1,0,0,1,0,0,2
Mlati,Perdagangan,Mikro_Lv1,4487338,0.8861,2,1,1,0,0,0,0,0,1,3
Ngaglik,Jasa,Mikro_Lv1,2776881,0.506,3,2,1,0,0,0,0,0,1,2
Prambanan,Jasa,Mikro_Lv1,4704069,0.9342,1,1,0,1,1,0,2,1,0,5
Sleman,Jasa,Mikro_Lv1,1553535,0.2341,2,1,1,1,1,0,2,1,0,5
Tempel,Agribisnis,Mikro_Lv2,9163121,0.8326,5,3,2,0,0,0,0,0,0,6
Sleman,Jasa,Mikro_Lv1,1868737,0.3042,4,2,2,0,0,0,0,0,0,1
Sleman,Jasa,Mikro_Lv1,1789783,0.2866,4,2,2,1,0,0,1,1,0,2
Depok,Jasa,Mikro_Lv1,2738083,0.4974,1,1,0,0,0,0,0,0,1,5
Minggir,Perdagangan,Mikro_Lv1,1820055,0.2933,4,2,2,1,1,0,2,1,0,5
Godean,Jasa,Mikro_Lv1,4231624,0.8292,2,1,1,0,0,0,0,0,0,4
Moyudan,Perdagangan,Mikro_Lv1,1919702,0.3155,3,2,1,1,0,0,1,0,0,4
Godean,Perdagangan,Mikro_Lv1,1701934,0.2671,4,2,2,1,1,0,2,1,0,2
Godean,Perdagangan,Mikro_Lv2,5521315,0.1043,5,2,3,1,0,0,1,0,0,4
Turi,Agribisnis,Mikro_Lv1,3715775,0.7146,1,1,0,0,0,0,0,0,0,1
Mlati,Agribisnis,Mikro_Lv1,2484030,0.4409,4,2,2,0,0,0,0,0,1,1
Depok,Perdagangan,Mikro_Lv1,2119530,0.3599,2,1,1,1,0,0,1,0,1,2
Ngaglik,Jasa,Mikro_Lv1,2749170,0.4998,1,1,0,0,0,0,0,0,1,2
Kalasan,Perdagangan,Mikro_Lv1,2370942,0.4158,4,2,2,0,0,0,0,0,1,3
Sleman,Perdagangan,Mikro_Lv1,3430424,0.6512,1,1,0,0,0,0,0,0,0,3
Godean,Jasa,Mikro_Lv1,4216714,0.8259,3,2,1,1,0,0,1,0,0,3
Seyegan,Jasa,Mikro_Lv1,1572374,0.2383,2,1,1,1,1,1,3,1,0,2
Tempel,Agribisnis,Mikro_Lv1,4833227,0.9629,3,1,2,0,0,0,0,0,0,3
Sleman,Perdagangan,Mikro_Lv2,8095039,0.619,4,2,2,0,0,0,0,0,0,4
Mlati,Perdagangan,Mikro_Lv1,2289087,0.3976,4,2,2,1,1,0,2,1,1,5
Cangkringan,Perdagangan,Mikro_Lv1,3111111,0.5802,1,1,0,0,0,0,0,0,0,1
Gamping,Agribisnis,Mikro_Lv1,3760564,0.7246,3,2,1,0,0,0,0,0,1,3
Pakem,Jasa,Mikro_Lv2,5711182,0.1422,4,2,2,0,0,0,0,0,0,4
Mlati,Perdagangan,Mikro_Lv1,2736149,0.4969,4,2,2,0,0,0,0,0,1,3
Ngemplak,Perdagangan,Mikro_Lv2,9082940,0.8166,6,3,3,1,0,0,1,0,0,4
Gamping,Agribisnis,Mikro_Lv3,23213079,0.8809,7,4,3,1,1,0,2,1,1,8
Gamping,Jasa,Mikro_Lv2,5060282,0.0121,2,1,1,0,0,0,0,0,1,4
Prambanan,Jasa,Mikro_Lv1,2990388,0.5534,3,2,1,0,0,0,0,0,0,1
Tempel,Jasa,Mikro_Lv1,3372325,0.6383,2,1,1,0,0,0,0,0,0,5
Sleman,Jasa,Mikro_Lv2,5002175,0.0004,6,3,3,0,0,0,0,0,0,2
Tempel,Agribisnis,Mikro_Lv1,1058867,0.1242,3,2,1,0,0,0,0,0,0,2
Gamping,Agribisnis,Mikro_Lv2,7284302,0.4569,6,3,3,0,0,0,0,0,1,3
Gamping,Jasa,Mikro_Lv1,655647,0.0346,2,1,1,0,0,0,0,0,1,4
Cangkringan,Agribisnis,Mikro_Lv1,1451710,0.2115,1,1,0,0,0,0,0,0,0,2
Godean,Jasa,Mikro_Lv1,1677209,0.2616,2,1,1,0,0,0,0,0,0,4
Mlati,Perdagangan,Mikro_Lv1,3019379,0.5599,4,2,2,0,0,0,0,0,1,1
Turi,Jasa,Mikro_Lv1,4629295,0.9176,2,1,1,1,1,0,2,1,0,4
Turi,Jasa,Mikro_Lv1,2094745,0.3544,2,1,1,0,0,0,0,0,0,4
Ngaglik,Jasa,Mikro_Lv2,7968174,0.5936,2,1,1,1,1,0,2,1,1,2
Tempel,Jasa,Mikro_Lv1,2637154,0.4749,2,1,1,0,0,0,0,0,0,4
Minggir,Perdagangan,Mikro_Lv1,2278650,0.3953,2,1,1,0,0,0,0,0,0,1
Depok,Perdagangan,Mikro_Lv1,4526642,0.8948,4,2,2,0,0,0,0,0,1,4
Minggir,Jasa,Mikro_Lv2,5530553,0.1061,4,2,2,1,1,0,2,1,0,8
Sleman,Jasa,Mikro_Lv1,4570675,0.9046,4,2,2,1,1,1,3,1,0,2
Kalasan,Perdagangan,Mikro_Lv1,2575713,0.4613,4,2,2,1,0,0,1,0,1,2
Depok,Jasa,Mikro_Lv1,4017937,0.7818,3,1,2,1,0,0,1,1,1,4
Berbah,Perdagangan,Mikro_Lv1,2401412,0.4225,4,2,2,0,0,0,0,0,0,3
Kalasan,Jasa,Mikro_Lv1,4175378,0.8168,3,1,2,1,0,0,1,0,1,1
Tempel,Perdagangan,Mikro_Lv1,3110320,0.5801,4,2,2,0,0,0,0,0,0,2
Moyudan,Perdagangan,Mikro_Lv1,2354080,0.412,3,2,1,0,0,0,0,0,0,1
Depok,Jasa,Mikro_Lv1,2380519,0.4179,4,2,2,0,0,0,0,0,1,3
Depok,Jasa,Mikro_Lv1,2638030,0.4751,2,1,1,1,0,0,1,1,1,1
Seyegan,Jasa,Mikro_Lv1,4389200,0.8643,2,1,1,0,0,0,0,0,0,5
Depok,Perdagangan,Mikro_Lv1,1200416,0.1556,4,2,2,0,0,0,0,0,1,1
Depok,Jasa,Mikro_Lv1,1286526,0.1748,1,1,0,1,1,0,2,1,1,4
Pakem,Perdagangan,Mikro_Lv1,3139770,0.5866,4,2,2,0,0,0,0,0,0,2
Prambanan,Jasa,Mikro_Lv1,3476579,0.6615,2,1,1,0,0,0,0,0,0,1
Kalasan,Jasa,Mikro_Lv1,4006260,0.7792,2,1,1,0,0,0,0,0,1,3
Depok,Perdagangan,Mikro_Lv1,3882172,0.7516,1,1,0,0,0,0,0,0,1,4
Prambanan,Perdagangan,Mikro_Lv1,1939605,0.3199,1,0,1,0,0,0,0,0,0,3
Ngemplak,Perdagangan,Mikro_Lv1,2894712,0.5322,4,2,2,0,0,0,0,0,0,5
Depok,Jasa,Mikro_Lv1,851771,0.0782,2,1,1,1,0,0,1,0,1,5
Godean,Jasa,Mikro_Lv1,1399321,0.1998,3,1,2,1,0,0,1,0,0,5
Minggir,Jasa,Kecil,971730892,0.9686,61,29,32,0,0,0,0,0,0,17
Kalasan,Jasa,Mikro_Lv1,4802573,0.9561,1,1,0,0,0,0,0,0,1,4
Berbah,Jasa,Mikro_Lv2,5194068,0.0388,3,2,1,0,0,0,0,0,0,5
Godean,Perdagangan,Mikro_Lv1,2443419,0.4319,3,2,1,1,1,0,2,1,0,2
Depok,Perdagangan,Mikro_Lv1,3286278,0.6192,3,1,2,0,0,0,0,0,1,5
Gamping,Agribisnis,Mikro_Lv1,816096,0.0702,2,1,1,0,0,0,0,0,1,3
Godean,Jasa,Mikro_Lv2,6635039,0.327,3,2,1,0,0,0,0,0,0,5
Ngaglik,Jasa,Mikro_Lv1,2243174,0.3874,2,1,1,0,0,0,0,0,1,4
Kalasan,Jasa,Mikro_Lv2,5752648,0.1505,5,3,2,1,0,0,1,0,1,8
Mlati,Jasa,Mikro_Lv1,526296,0.0058,1,0,1,1,0,0,1,0,1,2
Tempel,Jasa,Mikro_Lv1,1531810,0.2293,2,1,1,0,0,0,0,0,0,1
Mlati,Jasa,Mikro_Lv1,532646,0.0073,3,2,1,0,0,0,0,0,1,3
Prambanan,Perdagangan,Mikro_Lv1,2943413,0.543,4,2,2,0,0,0,0,0,0,5
Prambanan,Jasa,Mikro_Lv1,3939540,0.7643,4,2,2,1,0,0,1,0,0,1
Gamping,Perdagangan,Mikro_Lv1,3529407,0.6732,2,1,1,1,0,0,1,0,1,1
Turi,Jasa,Mikro_Lv1,1961215,0.3247,3,1,2,1,1,1,3,1,0,1
Sleman,Jasa,Mikro_Lv1,2218671,0.3819,4,2,2,1,1,0,2,1,0,2
Gamping,Perdagangan,Mikro_Lv1,2683643,0.4853,1,1,0,1,1,0,2,1,1,1
Depok,Perdagangan,Mikro_Lv1,2245234,0.3878,2,1,1,0,0,0,0,0,1,2
Gamping,Jasa,Mikro_Lv1,4512267,0.8916,3,2,1,0,0,0,0,0,1,3
Godean,Perdagangan,Mikro_Lv1,922618,0.0939,1,1,0,1,0,0,1,0,0,2
Godean,Jasa,Mikro_Lv1,1523612,0.2275,2,1,1,1,0,0,1,0,0,1
Sleman,Jasa,Mikro_Lv1,1777752,0.2839,1,1,0,0,0,0,0,0,0,4
Gamping,Jasa,Mikro_Lv1,524022,0.0053,3,2,1,1,1,1,3,1,1,5
Ngemplak,Perdagangan,Mikro_Lv2,6035670,0.2071,1,1,0,1,1,0,2,1,0,5
Depok,Perdagangan,Mikro_Lv1,906497,0.0903,1,0,1,1,0,0,1,0,1,4
Gamping,Jasa,Mikro_Lv2,9261150,0.8522,3,1,2,1,1,0,2,1,1,7
Ngaglik,Perdagangan,Mikro_Lv2,9357452,0.8715,2,1,1,1,1,0,2,1,1,2
Cangkringan,Jasa,Mikro_Lv1,568582,0.0152,4,2,2,0,0,0,0,0,0,1
Ngaglik,Jasa,Mikro_Lv1,850912,0.078,4,2,2,1,1,0,2,1,1,2
Depok,Jasa,Mikro_Lv1,2440634,0.4313,3,2,1,1,1,0,2,1,1,3
Minggir,Jasa,Mikro_Lv3,20397188,0.6931,5,3,2,1,0,0,1,1,0,12
Ngaglik,Perdagangan,Mikro_Lv1,3985627,0.7746,4,2,2,0,0,0,0,0,1,4
Ngaglik,Jasa,Mikro_Lv1,2079872,0.3511,4,2,2,1,1,0,2,1,1,3
Depok,Perdagangan,Mikro_Lv3,16464062,0.4309,6,3,3,1,1,0,2,1,1,10
Pakem,Jasa,Mikro_Lv1,1791527,0.287,3,2,1,0,0,0,0,0,0,1
Ngemplak,Perdagangan,Mikro_Lv1,706823,0.046,3,1,2,0,0,0,0,0,0,2
Cangkringan,Perdagangan,Mikro_Lv1,3928870,0.762,1,1,0,0,0,0,0,0,0,2
Depok,Jasa,Mikro_Lv1,3323251,0.6274,3,2,1,1,0,0,1,0,1,1
Tempel,Perdagangan,Mikro_Lv1,4668142,0.9263,2,1,1,0,0,0,0,0,0,4
Ngaglik,Jasa,Mikro_Lv1,2193495,0.3763,4,2,2,0,0,0,0,0,1,5
Cangkringan,Jasa,Mikro_Lv1,721099,0.0491,1,0,1,0,0,0,0,0,0,3
Berbah,Jasa,Mikro_Lv1,1177510,0.1506,2,1,1,0,0,0,0,0,0,1
Kalasan,Perdagangan,Mikro_Lv1,4585198,0.9078,3,1,2,1,0,0,1,1,1,1
Godean,Perdagangan,Mikro_Lv1,1585052,0.2411,4,2,2,0,0,0,0,0,0,3
Berbah,Agribisnis,Mikro_Lv1,3832299,0.7405,1,1,0,0,0,0,0,0,0,4
Gamping,Jasa,Mikro_Lv1,537117,0.0082,1,1,0,1,0,0,1,1,1,5
Tempel,Agribisnis,Mikro_Lv1,4913319,0.9807,3,1,2,0,0,0,0,0,0,3
Depok,Jasa,Mikro_Lv1,4771061,0.9491,4,2,2,1,1,0,2,1,1,1
Moyudan,Jasa,Mikro_Lv1,1030901,0.118,2,1,1,0,0,0,0,0,0,3
Ngaglik,Jasa,Mikro_Lv2,7331083,0.4662,3,1,2,1,1,0,2,1,1,4
Berbah,Jasa,Mikro_Lv1,2447188,0.4327,2,1,1,1,0,0,1,0,0,2
Tempel,Perdagangan,Mikro_Lv1,4201844,0.8226,1,1,0,0,0,0,0,0,0,4
Depok,Perdagangan,Mikro_Lv2,8833574,0.7667,5,3,2,0,0,0,0,0,1,8
Ngemplak,Jasa,Mikro_Lv1,1538734,0.2308,2,1,1,1,0,0,1,1,0,1
Sleman,Perdagangan,Mikro_Lv1,4063069,0.7918,3,1,2,0,0,0,0,0,0,1
Turi,Perdagangan,Mikro_Lv1,669162,0.0376,2,1,1,1,1,0,2,1,0,4
Seyegan,Agribisnis,Mikro_Lv2,9535211,0.907,5,3,2,0,0,0,0,0,0,4
Ngemplak,Perdagangan,Mikro_Lv1,1250506,0.1668,2,1,1,0,0,0,0,0,0,3
Sleman,Jasa,Mikro_Lv1,3539933,0.6755,2,1,1,1,1,0,2,1,0,3
Minggir,Jasa,Mikro_Lv1,2815632,0.5146,2,1,1,0,0,0,0,0,0,3
Mlati,Jasa,Mikro_Lv1,3326866,0.6282,3,2,1,0,0,0,0,0,1,3
Ngaglik,Jasa,Mikro_Lv1,4976176,0.9947,3,2,1,1,0,0,1,0,1,2
Gamping,Jasa,Mikro_Lv1,2075685,0.3502,3,1,2,1,1,0,2,1,1,3
Ngemplak,Jasa,Mikro_Lv1,4516384,0.8925,2,1,1,1,0,0,1,0,0,3
Tempel,Perdagangan,Mikro_Lv1,4926719,0.9837,4,2,2,1,0,0,1,0,0,4
Berbah,Perdagangan,Mikro_Lv1,1494426,0.221,4,2,2,0,0,0,0,0,0,5
Mlati,Jasa,Mikro_Lv2,8406820,0.6814,3,2,1,1,1,1,3,1,1,7
Mlati,Perdagangan,Mikro_Lv1,4889696,0.9755,2,1,1,0,0,0,0,0,1,5
Sleman,Jasa,Mikro_Lv1,4455449,0.879,4,2,2,0,0,0,0,0,0,1
Godean,Jasa,Mikro_Lv1,3267189,0.6149,2,1,1,0,0,0,0,0,0,2
Minggir,Perdagangan,Mikro_Lv1,3358968,0.6353,2,1,1,1,1,0,2,1,0,1
Godean,Perdagangan,Mikro_Lv1,1924820,0.3166,2,1,1,0,0,0,0,0,0,3
Kalasan,Jasa,Mikro_Lv1,4681497,0.9292,2,1,1,0,0,0,0,0,1,1
Moyudan,Perdagangan,Mikro_Lv1,4253206,0.834,3,2,1,0,0,0,0,0,0,2
Ngaglik,Perdagangan,Mikro_Lv1,518226,0.0041,3,2,1,1,0,0,1,0,1,2
Mlati,Agribisnis,Mikro_Lv1,2762353,0.5027,1,1,0,0,0,0,0,0,1,3
Berbah,Perdagangan,Mikro_Lv1,821064,0.0713,4,2,2,0,0,0,0,0,0,3
Sleman,Jasa,Mikro_Lv2,5378147,0.0756,2,1,1,1,0,0,1,0,0,7
Tempel,Agribisnis,Mikro_Lv1,2370208,0.4156,3,2,1,1,0,0,1,0,0,1
Ngaglik,Jasa,Mikro_Lv1,1811958,0.2915,3,2,1,1,0,0,1,0,1,4
Depok,Jasa,Mikro_Lv1,1136480,0.1414,1,0,1,1,1,0,2,1,1,2
Gamping,Perdagangan,Mikro_Lv1,3708136,0.7129,3,2,1,1,1,0,2,1,1,3
Cangkringan,Perdagangan,Mikro_Lv1,4239397,0.831,1,1,0,0,0,0,0,0,0,3
Minggir,Perdagangan,Mikro_Lv3,10120026,0.008,3,2,1,1,1,0,2,1,0,10
Mlati,Perdagangan,Mikro_Lv1,993466,0.1097,4,2,2,0,0,0,0,0,1,4
Berbah,Jasa,Mikro_Lv1,2614564,0.4699,3,2,1,0,0,0,0,0,0,1
Gamping,Agribisnis,Mikro_Lv1,2646909,0.4771,3,1,2,1,1,0,2,1,1,2
Moyudan,Perdagangan,Mikro_Lv1,3123223,0.5829,3,2,1,1,1,0,2,1,0,3
Mlati,Jasa,Mikro_Lv1,4580570,0.9068,4,2,2,1,0,0,1,0,1,4
Mlati,Jasa,Mikro_Lv1,3117298,0.5816,2,1,1,0,0,0,0,0,1,1
Depok,Jasa,Mikro_Lv1,1828142,0.2951,2,1,1,0,0,0,0,0,1,1
Pakem,Jasa,Mikro_Lv1,4487422,0.8861,2,1,1,0,0,0,0,0,0,3
Gamping,Agribisnis,Mikro_Lv1,3545313,0.6767,4,2,2,0,0,0,0,0,1,4
Ngaglik,Perdagangan,Mikro_Lv2,5769483,0.1539,1,1,0,0,0,0,0,0,1,6
Gamping,Jasa,Mikro_Lv1,3569474,0.6821,3,2,1,1,1,0,2,1,1,2
Godean,Jasa,Mikro_Lv1,2924523,0.5388,4,2,2,1,1,1,3,1,0,4
Kalasan,Jasa,Mikro_Lv1,4049292,0.7887,1,0,1,0,0,0,0,0,1,5
Prambanan,Perdagangan,Mikro_Lv1,1468305,0.2152,1,1,0,0,0,0,0,0,0,2
Depok,Perdagangan,Mikro_Lv1,1838245,0.2974,1,1,0,1,0,0,1,0,1,2
Kalasan,Agribisnis,Mikro_Lv1,978739,0.1064,2,1,1,0,0,0,0,0,1,4
Moyudan,Jasa,Mikro_Lv1,4965905,0.9924,2,1,1,1,0,0,1,0,0,3
Godean,Perdagangan,Mikro_Lv1,2323384,0.4052,2,1,1,0,0,0,0,0,0,5
Kalasan,Jasa,Mikro_Lv1,3912661,0.7584,4,2,2,1,1,1,3,1,1,2
Kalasan,Perdagangan,Mikro_Lv1,3102807,0.5784,4,2,2,1,1,0,2,1,1,2
Ngemplak,Perdagangan,Mikro_Lv1,1502475,0.2228,3,2,1,0,0,0,0,0,0,4
Ngemplak,Jasa,Mikro_Lv2,7902450,0.5805,2,1,1,1,1,0,2,1,0,7
Cangkringan,Agribisnis,Mikro_Lv1,2608086,0.4685,4,2,2,1,0,0,1,0,0,5
Kalasan,Agribisnis,Mikro_Lv1,4211662,0.8248,2,1,1,0,0,0,0,0,1,4
Kalasan,Jasa,Mikro_Lv1,582604,0.0184,1,1,0,1,1,0,2,1,1,5
Minggir,Jasa,Mikro_Lv1,936060,0.0969,1,1,0,0,0,0,0,0,0,4
Prambanan,Perdagangan,Mikro_Lv1,1462217,0.2138,3,2,1,0,0,0,0,0,0,5
Ngaglik,Jasa,Mikro_Lv2,5772793,0.1546,6,3,3,1,1,0,2,1,1,8
Berbah,Jasa,Mikro_Lv1,1274474,0.1721,1,0,1,0,0,0,0,0,0,3
Gamping,Perdagangan,Mikro_Lv1,2934434,0.541,4,2,2,0,0,0,0,0,1,5
Depok,Agribisnis,Mikro_Lv1,1389912,0.1978,3,2,1,0,0,0,0,0,1,4
Godean,Jasa,Mikro_Lv1,4747136,0.9438,4,2,2,1,1,1,3,1,0,4
Ngaglik,Perdagangan,Mikro_Lv1,2815175,0.5145,2,1,1,0,0,0,0,0,1,5
Pakem,Jasa,Mikro_Lv1,880149,0.0845,3,2,1,1,0,0,1,0,0,1
Seyegan,Jasa,Mikro_Lv1,3994627,0.7766,3,2,1,0,0,0,0,0,0,2
Depok,Perdagangan,Mikro_Lv1,3615084,0.6922,3,2,1,1,1,0,2,1,1,2
Depok,Jasa,Mikro_Lv1,2513491,0.4474,3,2,1,1,1,0,2,1,1,4
Ngemplak,Jasa,Mikro_Lv1,4670794,0.9268,1,0,1,0,0,0,0,0,0,1
Kalasan,Perdagangan,Mikro_Lv1,2656066,0.4791,2,1,1,1,1,0,2,1,1,5
Seyegan,Perdagangan,Mikro_Lv1,3196314,0.5992,2,1,1,0,0,0,0,0,0,4
Cangkringan,Perdagangan,Mikro_Lv1,3317422,0.6261,2,1,1,1,1,1,3,1,0,2
Minggir,Perdagangan,Mikro_Lv1,2149383,0.3665,3,2,1,1,0,0,1,0,0,2
Turi,Agribisnis,Mikro_Lv1,4556974,0.9015,4,2,2,1,1,0,2,1,0,1
Ngaglik,Jasa,Mikro_Lv1,4804586,0.9566,4,2,2,0,0,0,0,0,1,2
Kalasan,Perdagangan,Mikro_Lv1,682506,0.0406,3,2,1,0,0,0,0,0,1,5
Godean,Agribisnis,Mikro_Lv1,4542334,0.8983,1,0,1,0,0,0,0,0,0,4
Sleman,Perdagangan,Mikro_Lv1,2458279,0.4352,2,1,1,0,0,0,0,0,0,5
Seyegan,Jasa,Mikro_Lv2,8003526,0.6007,1,0,1,0,0,0,0,0,0,4
Moyudan,Jasa,Mikro_Lv1,2821141,0.5158,2,1,1,0,0,0,0,0,0,5
Depok,Jasa,Mikro_Lv1,2084492,0.3521,1,0,1,1,0,0,1,0,1,5
Sleman,Jasa,Mikro_Lv1,774233,0.0609,1,1,0,0,0,0,0,0,0,1
Seyegan,Jasa,Mikro_Lv1,4622213,0.916,1,0,1,1,1,0,2,1,0,2
Cangkringan,Perdagangan,Mikro_Lv1,4645530,0.9212,2,1,1,0,0,0,0,0,0,1
Moyudan,Perdagangan,Mikro_Lv1,3900633,0.7557,3,2,1,0,0,0,0,0,0,3
Mlati,Perdagangan,Mikro_Lv1,1379377,0.1954,3,1,2,0,0,0,0,0,1,4
Sleman,Perdagangan,Mikro_Lv1,2631723,0.4737,4,2,2,0,0,0,0,0,0,3
Prambanan,Jasa,Mikro_Lv1,2401766,0.4226,3,1,2,0,0,0,0,0,0,1
Depok,Perdagangan,Mikro_Lv1,1638964,0.2531,1,0,1,0,0,0,0,0,1,3
